work_key	title	last_name	htid_count	source
/works/OL37513138W	The Adventures of Huckleberry Finn	twain	0	HTRC_fuzzy_2026
/works/OL31415789W	The Outlaw Years	coates	0	HTRC_fuzzy_2026
/works/OL7055428W	We Two	lyall	0	HTRC_fuzzy_2026
/works/OL1798545W	Jan Vedder's Wife	barr	0	HTRC_fuzzy_2026
/works/OL7675136W	Anthony Fairfax	hollis	0	HTRC_fuzzy_2026
/works/OL4451245W	A Strong Minded Woman	hammond	0	HTRC_fuzzy_2026
/works/OL1491830W	He Fell in Love with His Wife	roe	0	HTRC_fuzzy_2026
/works/OL4606427W	That Unfortunate Marriage	trollope	0	HTRC_fuzzy_2026
/works/OL262578W	The Doings of Raffles Haw	doyle	0	HTRC_fuzzy_2026
/works/OL1797214W	A Question of Time	atherton	0	HTRC_fuzzy_2026
/works/OL1489101W	Ships That Pass in the Night	harraden	0	HTRC_fuzzy_2026
/works/OL32747456W	Renunciations	wedmore	0	HTRC_fuzzy_2026
/works/OL6016716W	A Prodigal in Love	wolf	0	HTRC_fuzzy_2026
/works/OL18110400W	The Comedy of Sentiment	nordau	0	HTRC_fuzzy_2026
/works/OL2339028W	The Lady of the Hundred Dresses	crockett	0	HTRC_fuzzy_2026
/works/OL16078090W	Topham's Folly	stevenson	0	HTRC_fuzzy_2026
/works/OL7483534W	Big Wallace	williams	0	HTRC_fuzzy_2026
/works/OL36868341W	The Valley of Silent Men	curwood	0	HTRC_fuzzy_2026
/works/OL4103590W	Drag Harlan	seltzer	0	HTRC_fuzzy_2026
/works/OL4772826W	Admirals of the Caribbean	hart	0	HTRC_fuzzy_2026
/works/OL879241W	A Crystal Age	hudson	0	HTRC_fuzzy_2026
/works/OL4975431W	Red Sand	stribling	0	HTRC_fuzzy_2026
/works/OL788147W	The Aloe	mansfield	0	HTRC_fuzzy_2026
/works/OL7282228W	The Indigo Necklace	crane	0	HTRC_fuzzy_2026
/works/OL8776079W	The Little Lady of Lagunitas	savage	0	HTRC_fuzzy_2026
/works/OL17467W	Jess	haggard	0	HTRC_fuzzy_2026
/works/OL24485925W	The Maid of Maiden Lane	barr	0	HTRC_fuzzy_2026
/works/OL24661382W	The Simian World	day	0	HTRC_fuzzy_2026
/works/OL24797604W	The Heart of Unaga	cullum	0	HTRC_fuzzy_2026
/works/OL3121021W	The New Dawn	laut	0	HTRC_fuzzy_2026
